"AÑO","DEPARTAMENTO","PROVINCIA","MUNICIPIO","No. ACCESOS FIJOS","POBLACIÓN DANE"
2022,"Choco","SAN JUAN","CERTEGUI",179,5967
2021,"Bolivar","DIQUE BOLIVARENSE","CALAMAR",564,24034
2022,"Boyaca","NORTE (BOYACA)","SUSACON",8,2798
2022,"Cauca","NORTE (CAUCA)","PUERTO TEJADA",3925,43624
2021,"Bolivar","MOJANA BOLIVARENSE","PINILLOS",47,25814
2021,"Boyaca","CENTRO (BOYACA)","TUTA",584,8641
2022,"Valle Del Cauca","CENTRO (VALLE DEL CAUCA)","GUACARI",3038,35239
2022,"Bolivar","DIQUE BOLIVARENSE","SANTA ROSA",345,22566
2021,"Cauca","SUR (CAUCA)","LA VEGA",598,25455
2021,"Antioquia","NORTE (ANTIOQUIA)","YARUMAL",3859,43308
2022,"Cauca","OCCIDENTE (CAUCA)","GUAPI",293,28878
2022,"Cundinamarca","GUAVIO","GACHETA",460,9279
2022,"Antioquia","SUROESTE","BETULIA",2484,16320
2022,"Antioquia","ORIENTE (ANTIOQUIA)","SAN CARLOS",1929,16687
2021,"Huila","CENTRO (HUILA)","GARZON",5870,75976
2021,"Santander","SOTO","CALIFORNIA",70,2207
2021,"Boyaca","VALDERRAMA","BETEITIVA",22,1995
2022,"Cordoba","SAN JORGE (CORDOBA)","AYAPEL",4715,48476
2022,"Huila","NORTE (HUILA)","CAMPOALEGRE",2174,32709
2022,"Narino","CENTRO (NARINO)","CHACHAGUI",1877,15769
2022,"Boyaca","LA LIBERTAD","PAYA",12,2737
2021,"Santander","COMUNERA","SOCORRO",4472,34837
2021,"Boyaca","NORTE (BOYACA)","SAN MATEO",147,3459
2022,"Cundinamarca","ALTO MAGDALENA","GUATAQUI",34,3214
2021,"Narino","SUR (NARINO)","GUACHUCAL",309,20089
2021,"Magdalena","CENTRO (MAGDALENA)","TENERIFE",822,14271
2021,"Cundinamarca","SABANA CENTRO","NEMOCON",1358,14611
2022,"Atlantico","CENTRO ORIENTE","SABANAGRANDE",2944,35630
2022,"Santander","SOTO","MATANZA",140,5254
2022,"Putumayo","PUTUMAYO","ORITO",2190,39823
2021,"Antioquia","NORTE (ANTIOQUIA)","VALDIVIA",1004,14333
2021,"Quindio","NORTE (QUINDIO)","CIRCASIA",5585,29179
2022,"Caqueta","CAQUETA","CARTAGENA DEL CHAIRA",387,32381
2021,"Narino","SUR (NARINO)","PUPIALES",265,17946
2022,"Antioquia","URABA","CAREPA",6953,51328
2021,"Atlantico","NORTE (ATLANTICO)","GALAPA",7875,66485
2021,"Valle Del Cauca","NORTE (VALLE DEL CAUCA)","LA VICTORIA",1491,12412
2022,"Santander","VELEZ","LA BELLEZA",334,6545
2021,"Norte De Santander","CENTRO (NORTE DE SANTANDER)","GRAMALOTE",169,8052
2021,"Santander","VELEZ","PUENTE NACIONAL",236,15162
2021,"Boyaca","NORTE (BOYACA)","LA UVITA",15,3118
2021,"Bolivar","DEPRESION MOMPOSINA","SANTA CRUZ DE MOMPOX",1525,47377
2022,"Cauca","NORTE (CAUCA)","CALOTO",190,30865
2022,"Boyaca","RICAURTE","GACHANTIVA",57,2905
2021,"Cordoba","SINU MEDIO","CERETE",7967,111029
2021,"Boyaca","ORIENTE (BOYACA)","LA CAPILLA",9,2757
2022,"Caldas","BAJO OCCIDENTE","VITERBO",2456,13077
2022,"Norte De Santander","SUR OCCIDENTE","PAMPLONA",6456,55858
2022,"Atlantico","OCCIDENTAL","USIACURI",1135,13438
2021,"Cundinamarca","SUMAPAZ","ARBELAEZ",595,11464
2022,"Antioquia","SUROESTE","TARSO",431,6424
2022,"Boyaca","NORTE (BOYACA)","SATIVASUR",22,1138
2022,"Sucre","SAN JORGE (SUCRE)","SAN BENITO ABAD",448,30565
2022,"Boyaca","VALDERRAMA","SOCOTA",98,7556
2022,"Cauca","NORTE (CAUCA)","PADILLA",23,10395
2021,"Antioquia","ORIENTE (ANTIOQUIA)","GUATAPE",1575,8791
2022,"Casanare","CASANARE","MONTERREY",1257,18890
2021,"Cundinamarca","ALTO MAGDALENA","NILO",388,11964
2022,"Boyaca","NORTE (BOYACA)","COVARACHIA",68,2884
2021,"Guainia","GUAINIA","INIRIDA",971,35041
2021,"Boyaca","RICAURTE","SACHICA",320,5732
2022,"Antioquia","MAGDALENA MEDIO","MACEO",380,8559
2022,"Antioquia","SUROESTE","CAICEDO",392,8727
2021,"Magdalena","NORTE (MAGDALENA)","FUNDACION",8086,72056
2022,"Cauca","CENTRO (CAUCA)","ROSAS",7,12008
2022,"Narino","COSTA","TUMACO - SAN ANDRES DE TUMACO",8762,263990
2021,"Cauca","NORTE (CAUCA)","MIRANDA",1079,32675
2021,"Cundinamarca","GUALIVA","SASAIMA",1268,11721
2021,"Antioquia","URABA","SAN JUAN DE URABA",1016,21169
2022,"Casanare","CASANARE","PAZ DE ARIPORO",1888,39661
2022,"Meta","ARIARI","MAPIRIPAN",96,7353
2022,"Boyaca","LA LIBERTAD","PAJARITO",74,2493
2022,"Amazonas","AMAZONAS","LA PEDRERA",1,4138
2021,"Antioquia","SUROESTE","HISPANIA",526,5693
2022,"Choco","DARIEN","ACANDI",486,15310
2021,"Antioquia","VALLE DEL ABURRA","ITAGUI",81064,291662
2021,"Bolivar","MAGDALENA MEDIO BOLIVARENSE","ARENAL",218,7748
2022,"Norte De Santander","ORIENTAL","EL ZULIA",949,30258
2022,"Bolivar","DEPRESION MOMPOSINA","CICUCO",632,14555
2022,"Santander","SOTO","FLORIDABLANCA",80274,332053
